feature,importance
lag_12,0.93179275305747
lag_1,0.04515923254693711
rolling_mean_3,0.011029583235501617
rolling_mean_12,0.0051211398987479825
lag_6,0.0030386222251887226
year,0.0027110899267195477
month,0.0011475791094350508
