forecast_date,sarimax_forecast
2020-04-01,9195217.603204386
2020-05-01,10389275.064932872
2020-06-01,12281225.502359038
2020-07-01,14012833.958228016
2020-08-01,13464182.215478038
2020-09-01,9399197.506748963
2020-10-01,9493695.515812175
2020-11-01,8276136.790621374
2020-12-01,10324997.899570536
2021-01-01,9661629.486539355
2021-02-01,6957916.75424337
2021-03-01,5836454.488837122
