Metric,SARIMAX,Random Forest
MAE,568456.0808333354,725860.2597222222
MSE,454136154480.3408,724709789672.193
RMSE,673896.2490475376,851298.8838664086
R2,0.9078895105097926,0.8530102199384775
MAPE,2.8995356027175823,3.7401152131301325
MASE,0.33550989514981894,0.42745386073977415
